,name,handedness,height,weight,avg,homeruns,hr_bucket,bmi,bmi_bucket,hr_sqrt
648,Don Hahn,R,73,180,0.236,7,Low home run hitter (under 25 HR),23.74554325,23,2.645751311
649,Todd Cruz,R,72,175,0.22,34,Mid home run hitter (25-100 HR),23.73167438,23,5.830951895
650,Tom Egan,R,76,218,0.2,22,Low home run hitter (under 25 HR),26.53289474,26,4.69041576
651,Bob Heise,R,72,175,0.247,1,Low home run hitter (under 25 HR),23.73167438,23,1
652,Tommy Harper,R,69,165,0.257,146,Big home run hitter (over 200 HR),24.36357908,24,12.08304597
653,Joe Wallis,B,71,180,0.244,16,Low home run hitter (under 25 HR),25.10216227,25,4
654,Max Alvis,R,71,185,0.247,111,Big home run hitter (over 200 HR),25.79944455,25,10.53565375
655,Rico Carty,R,75,200,0.299,204,Big home run hitter (over 200 HR),24.99555556,24,14.28285686
656,Mike Cubbage,L,72,180,0.258,34,Mid home run hitter (25-100 HR),24.40972222,24,5.830951895
657,Merritt Ranew,L,71,170,0.247,8,Low home run hitter (under 25 HR),23.7075977,23,2.828427125
658,Lyman Bostock,L,73,180,0.311,23,Low home run hitter (under 25 HR),23.74554325,23,4.795831523
659,Damaso Garcia,R,73,165,0.283,36,Mid home run hitter (25-100 HR),21.76674798,21,6
660,Roy Howell,L,73,190,0.261,80,Mid home run hitter (25-100 HR),25.0647401,25,8.94427191
661,Boog Powell,L,76,230,0.266,339,Big home run hitter (over 200 HR),27.99342105,27,18.41195264
662,Sonny Siebert,R,75,190,0.173,12,Low home run hitter (under 25 HR),23.74577778,23,3.464101615
663,Bobby Darwin,R,74,190,0.251,83,Mid home run hitter (25-100 HR),24.39189189,24,9.110433579
664,Dan Driessen,L,71,187,0.267,153,Big home run hitter (over 200 HR),26.07835747,26,12.36931688
665,Bruce Miller,R,73,185,0.246,1,Low home run hitter (under 25 HR),24.40514168,24,1
666,Bob Bailor,R,71,170,0.264,9,Low home run hitter (under 25 HR),23.7075977,23,3
667,Tommy Helms,R,70,165,0.269,34,Mid home run hitter (25-100 HR),23.67244898,23,5.830951895
668,Tony Armas,R,71,182,0.252,251,Big home run hitter (over 200 HR),25.38107518,25,15.84297952
670,Lou Piniella,R,72,182,0.291,102,Big home run hitter (over 200 HR),24.68094136,24,10.09950494
671,Butch Hobson,R,73,193,0.248,98,Mid home run hitter (25-100 HR),25.46049916,25,9.899494937
672,John Wathan,R,74,205,0.262,21,Low home run hitter (under 25 HR),26.31756757,26,4.582575695
673,Hal King,L,73,200,0.214,24,Low home run hitter (under 25 HR),26.38393695,26,4.898979486
674,Mike Krukow,R,77,205,0.193,5,Low home run hitter (under 25 HR),24.3067971,24,2.236067978
675,Andres Mora,R,72,180,0.223,27,Mid home run hitter (25-100 HR),24.40972222,24,5.196152423
676,Barry Foote,R,75,205,0.23,57,Mid home run hitter (25-100 HR),25.62044444,25,7.549834435
677,Ed Ott,L,70,190,0.259,33,Mid home run hitter (25-100 HR),27.25918367,27,5.744562647
678,Alan Wiggins,B,74,160,0.259,5,Low home run hitter (under 25 HR),20.54054054,20,2.236067978
679,Ron Clark,R,70,175,0.189,5,Low home run hitter (under 25 HR),25.10714286,25,2.236067978
680,Julio Gotay,R,72,180,0.26,6,Low home run hitter (under 25 HR),24.40972222,24,2.449489743
681,Gary Alexander,R,74,195,0.23,55,Mid home run hitter (25-100 HR),25.03378378,25,7.416198487
682,Andre Thornton,R,75,200,0.254,253,Big home run hitter (over 200 HR),24.99555556,24,15.90597372
683,Bob Oliver,R,75,205,0.256,94,Mid home run hitter (25-100 HR),25.62044444,25,9.695359715
684,Bob Robertson,R,73,195,0.242,115,Big home run hitter (over 200 HR),25.72433853,25,10.72380529
685,Ollie Brown,R,74,178,0.265,102,Big home run hitter (over 200 HR),22.85135135,22,10.09950494
686,Frank Quilici,R,73,170,0.214,5,Low home run hitter (under 25 HR),22.42634641,22,2.236067978
687,Joe Pepitone,L,74,185,0.258,219,Big home run hitter (over 200 HR),23.75,23,14.79864859
688,Steve Barber,L,72,195,0.115,5,Low home run hitter (under 25 HR),26.44386574,26,2.236067978
689,Norm Miller,L,70,185,0.238,24,Low home run hitter (under 25 HR),26.54183673,26,4.898979486
690,Bob Chance,L,74,196,0.261,24,Low home run hitter (under 25 HR),25.16216216,25,4.898979486
691,Julio Cruz,B,69,165,0.237,23,Low home run hitter (under 25 HR),24.36357908,24,4.795831523
692,Bill Sample,R,69,175,0.272,46,Mid home run hitter (25-100 HR),25.84015963,25,6.782329983
693,Craig Kusick,R,75,210,0.235,46,Mid home run hitter (25-100 HR),26.24533333,26,6.782329983
694,Rudy Meoli,L,69,165,0.212,2,Low home run hitter (under 25 HR),24.36357908,24,1.414213562
695,Ruppert Jones,L,70,170,0.25,147,Big home run hitter (over 200 HR),24.38979592,24,12.12435565
696,Glenn Hoffman,R,73,175,0.242,23,Low home run hitter (under 25 HR),23.08594483,23,4.795831523
697,Russ Gibson,R,73,195,0.228,8,Low home run hitter (under 25 HR),25.72433853,25,2.828427125
698,Terry Francona,L,73,190,0.274,16,Low home run hitter (under 25 HR),25.0647401,25,4
699,John Bateman,R,75,210,0.23,81,Mid home run hitter (25-100 HR),26.24533333,26,9
700,Luis Pujols,R,74,175,0.193,6,Low home run hitter (under 25 HR),22.46621622,22,2.449489743
701,Joe Gaines,R,73,190,0.241,21,Low home run hitter (under 25 HR),25.0647401,25,4.582575695
702,Doug Rader,R,74,208,0.251,155,Big home run hitter (over 200 HR),26.7027027,26,12.4498996
703,Mickey Stanley,R,73,185,0.248,117,Big home run hitter (over 200 HR),24.40514168,24,10.81665383
704,Phil Bradley,R,72,185,0.286,78,Mid home run hitter (25-100 HR),25.08777006,25,8.831760866
705,Winston Llenas,R,70,165,0.23,3,Low home run hitter (under 25 HR),23.67244898,23,1.732050808
706,Charlie Moore,R,71,180,0.261,36,Mid home run hitter (25-100 HR),25.10216227,25,6
707,Ralph Garr,L,71,185,0.306,75,Mid home run hitter (25-100 HR),25.79944455,25,8.660254038
708,Tommy John,R,75,180,0.157,5,Low home run hitter (under 25 HR),22.496,22,2.236067978
709,Bruce Benedict,R,73,175,0.242,18,Low home run hitter (under 25 HR),23.08594483,23,4.242640687
711,Wes Parker,B,73,180,0.267,64,Mid home run hitter (25-100 HR),23.74554325,23,8
712,David Green,R,75,170,0.268,31,Mid home run hitter (25-100 HR),21.24622222,21,5.567764363
713,Reid Nichols,R,71,165,0.266,22,Low home run hitter (under 25 HR),23.01031541,23,4.69041576
714,Rick Reichardt,R,75,210,0.261,116,Big home run hitter (over 200 HR),26.24533333,26,10.77032961
715,Luis Tiant,R,72,180,0.164,5,Low home run hitter (under 25 HR),24.40972222,24,2.236067978
716,Broderick Perkins,L,70,180,0.271,8,Low home run hitter (under 25 HR),25.8244898,25,2.828427125
717,Leon Roberts,R,75,200,0.267,78,Mid home run hitter (25-100 HR),24.99555556,24,8.831760866
718,Ray Burris,R,77,200,0.151,1,Low home run hitter (under 25 HR),23.71394839,23,1
719,Len Gabrielson,L,76,210,0.253,37,Mid home run hitter (25-100 HR),25.55921053,25,6.08276253
720,Johnny Edwards,L,76,220,0.242,81,Mid home run hitter (25-100 HR),26.77631579,26,9
721,Tom Grieve,R,74,190,0.249,65,Mid home run hitter (25-100 HR),24.39189189,24,8.062257748
722,Bob Forsch,R,76,200,0.213,12,Low home run hitter (under 25 HR),24.34210526,24,3.464101615
723,Danny Cater,R,72,170,0.276,66,Mid home run hitter (25-100 HR),23.05362654,23,8.124038405
724,Bill Schroeder,R,74,200,0.24,61,Mid home run hitter (25-100 HR),25.67567568,25,7.810249676
725,Clay Dalrymple,L,72,190,0.233,55,Mid home run hitter (25-100 HR),25.7658179,25,7.416198487
726,Carlos May,L,71,200,0.274,90,Mid home run hitter (25-100 HR),27.89129141,27,9.486832981
727,Reggie Smith,B,72,180,0.287,314,Big home run hitter (over 200 HR),24.40972222,24,17.72004515
728,Ron Reed,R,78,215,0.158,0,Low home run hitter (under 25 HR),24.8430309,24,0
729,Davey Johnson,R,73,170,0.261,136,Big home run hitter (over 200 HR),22.42634641,22,11.66190379
730,Ellis Valentine,R,76,205,0.278,123,Big home run hitter (over 200 HR),24.95065789,24,11.09053651
731,Roy White,B,70,160,0.271,160,Big home run hitter (over 200 HR),22.95510204,22,12.64911064
732,Mike Brumley,L,70,195,0.229,5,Low home run hitter (under 25 HR),27.97653061,27,2.236067978
